Investor_Name,PageRank_Centrality,Degree
SV Angel,0.0050836038616452525,960
500 Startups,0.00440775403735689,982
Intel Capital,0.0038441066340948018,775
New Enterprise Associates,0.003380358979296098,663
First Round Capital,0.003356142305599607,672
Kleiner Perkins Caufield & Byers,0.0032044315290452566,590
Accel Partners,0.002967443036762359,557
Draper Fisher Jurvetson (DFJ),0.002939805352524842,599
Sequoia Capital,0.002444215704374687,465
Greylock Partners,0.002310562509167924,497
Andreessen Horowitz,0.0022511791915359606,520
Index Ventures,0.00207785351399712,456
Google Ventures,0.00205572071780811,506
Lerer Ventures,0.002009583770352954,485
Charles River Ventures,0.0018794953261498186,481
Founder Collective,0.0018365332093151234,450
Bessemer Venture Partners,0.00176456653499983,403
CrunchFund,0.0017349325714018076,494
General Catalyst Partners,0.0017216188849079118,412
Y Combinator,0.0017057973591666359,424
Benchmark,0.0016909008879992288,329
Felicis Ventures,0.00166521865952131,425
Menlo Ventures,0.0015958982196107685,396
Khosla Ventures,0.0015656869261073698,342
Polaris Partners,0.0015597627510351897,348
Lightspeed Venture Partners,0.001550052050208163,310
Atlas Venture,0.0015489421140529897,345
RRE Ventures,0.0015412379415141284,368
Venrock,0.001529023769584846,348
Redpoint Ventures,0.0015163895921827821,330
Canaan Partners,0.0014813047973940424,321
SoftTech VC,0.0014705253786061303,365
True Ventures,0.0014602334652372305,365
Battery Ventures,0.001439643813965444,348
US Venture Partners,0.0014103132844499899,316
Highland Capital Partners,0.001345947220328843,298
BDC Venture Capital,0.0013031400785955202,226
Ron Conway,0.001298933453529646,358
DAG Ventures,0.001294166888662132,247
InterWest Partners,0.0012890433501911084,303
David Cohen,0.0012591299451946622,341
Mayfield Fund,0.0012549293605840816,271
Norwest Venture Partners,0.0012349610054238707,255
FLOODGATE,0.0012232908744462144,323
Crosslink Capital,0.001203562339390036,339
betaworks,0.0012003437169819454,318
High-Tech Gruenderfonds,0.0011735071970072391,115
David Tisch,0.0011683927017992755,336
Goldman Sachs,0.001161146616448531,302
Alexis Ohanian,0.0011415992894603076,325
Paul Buchheit,0.0011362894883377142,314
Naval Ravikant,0.001131809832997972,350
Foundation Capital,0.0011144157618028655,255
Founders Fund,0.0010849392344296758,292
Oak Investment Partners,0.0010786030113247112,241
Greycroft Partners,0.0010642301396055222,241
Sigma Partners,0.0010501553404161524,192
Mohr Davidow Ventures,0.0010234046338240966,241
Spark Capital,0.0009898677056558213,263
Trinity Ventures,0.0009819351459674941,242
Ignition Partners,0.0009804815137395306,234
Matrix Partners,0.0009590884007622206,236
Morgenthaler Ventures,0.0009516982996650711,223
VantagePoint Capital Partners,0.0009134930452170818,243
Austin Ventures,0.0008968736009809337,204
North Bridge Venture Partners,0.0008789453357441506,168
Joshua Schachter,0.0008563923871912118,289
3i Group,0.0008540932153734615,185
Alta Partners,0.0008511756497975075,202
Baseline Ventures,0.000838643949159192,221
Esther Dyson,0.0008365163107043608,238
DCM,0.0008363239727559636,215
Union Square Ventures,0.000834735710421681,207
ff Venture Capital,0.0008189364415629139,211
Keith Rabois,0.0008078817641808257,277
Shasta Ventures,0.0007945380440834168,168
SoftBank Capital,0.0007943889154926061,196
OrbiMed Advisors,0.0007899379439182364,184
Dave McClure,0.0007801087435851784,258
Wellington Partners,0.000775332664465197,160
iNovia Capital,0.0007715776131086025,181
Madrona Venture Group,0.0007644024015646602,160
Kima Ventures,0.0007637592793577494,214
Oxford Capital Partners,0.0007623561097201399,69
ARCH Venture Partners,0.0007615145093774621,143
Start Fund,0.000760631771119374,221
Domain Associates,0.0007448367346755679,141
Sutter Hill Ventures,0.0007430189974254237,173
Flagship Ventures,0.0007426956048434969,155
Qualcomm Ventures,0.0007387449724816811,203
Pitango Venture Capital,0.0007356123708111698,153
Mitch Kapor,0.0007301718066885432,236
Data Collective,0.0007295100591163793,219
Jafco Ventures,0.0007253392206923003,179
Motorola Solutions Venture Capital,0.0007179177046699558,189
Ashton Kutcher,0.0007091703620494016,238
Globespan Capital Partners,0.0006996235112338694,159
Novartis Venture Fund,0.0006970848951007872,149
Flybridge Capital Partners,0.0006938380817644202,155
Scott Banister,0.000693212868366238,219
Alloy Ventures,0.0006799918362720407,165
Versant Ventures,0.0006777500543952319,149
Dave Morin,0.0006764373656805596,233
Ben Ling,0.000675642282403548,255
MPM Capital,0.0006748634882694832,151
Johnson & Johnson Development Corporation,0.0006728458536706453,153
Scale Venture Partners,0.0006728020412130457,182
Investor Growth Capital,0.0006682287427943362,190
Zelkova Ventures,0.0006560121939896919,188
FirstMark Capital,0.0006534999193126261,175
KfW Bankengruppe,0.0006488511683161722,94
Comcast Ventures,0.0006475526548418262,186
Plug & Play Ventures,0.0006466737621564539,187
Pritzker Group Venture Capital,0.0006410477331523008,175
LaunchCapital,0.000634000611325127,175
Gimv,0.0006321879962377374,124
New Leaf Venture Partners,0.0006312851704476493,143
Foundry Group,0.0006247039652747653,140
Rho Capital Partners,0.0006239052612285619,166
Balderton Capital,0.0006231166385972903,125
Cisco,0.0006225749871736247,166
Bay Partners,0.0006224325718877179,146
Advanced Technology Ventures,0.0006147433234549745,148
Quotidian Ventures,0.000611364640174914,189
Yuri Milner,0.0006110615378630107,187
Cr̩dit Agricole Private Equity,0.0006106718318910409,110
Harris & Harris Group,0.0006103507065806965,148
Enterprise Ireland,0.0006090398046276233,80
SAP Ventures,0.000606901099436296,149
August Capital,0.0006068420600873557,159
Sofinnova Ventures,0.0006027320131634703,142
InterSouth Partners,0.0006026662581269499,125
