Source,Target,Weight
'Friends & Family',HOWZAT media,1
'Friends & Family',Northstar Equity Investors,1
'Friends & Family',Prime Ventures,1
.406 Ventures,Acadia Woods Partners,1
.406 Ventures,Advance Publications,1
.406 Ventures,Atlas Venture,7
.406 Ventures,Avalon Ventures,2
.406 Ventures,Bain Capital Ventures,2
.406 Ventures,Castile Ventures,2
.406 Ventures,Castille Ventures,1
.406 Ventures,Charles River Ventures,1
.406 Ventures,Chrysalis Ventures,2
.406 Ventures,Cisco,3
.406 Ventures,Dave McClure,1
.406 Ventures,Fairhaven Capital Partners,1
.406 Ventures,Felicis Ventures,1
.406 Ventures,Fidelity Biosciences,1
.406 Ventures,First Round Capital,4
.406 Ventures,Formative Ventures,3
.406 Ventures,Founders Fund,2
.406 Ventures,General Catalyst Partners,1
.406 Ventures,Globespan Capital Partners,1
.406 Ventures,Goldman Sachs,2
.406 Ventures,Harmony Partners,1
.406 Ventures,Highland Capital Partners,2
.406 Ventures,In-Q-Tel,1
.406 Ventures,Intel Capital,2
.406 Ventures,Kleiner Perkins Caufield & Byers,2
.406 Ventures,Marc Benioff,2
.406 Ventures,Meritech Capital Partners,1
.406 Ventures,Mitsui Global Investment,1
.406 Ventures,Monitor Clipper Funds,1
.406 Ventures,New Science Ventures,1
.406 Ventures,New York Angels,1
.406 Ventures,New York City Investment Fund,1
.406 Ventures,Nexus Venture Partners,2
.406 Ventures,ORIX Ventures,1
.406 Ventures,OpenView Venture Partners,1
.406 Ventures,Physic Ventures,1
.406 Ventures,Polaris Partners,4
.406 Ventures,Prism Venture Management,5
.406 Ventures,Rock Maple Ventures,2
.406 Ventures,Rose Tech Ventures,2
.406 Ventures,Rovi Corporation,3
.406 Ventures,Sequoia Capital,1
.406 Ventures,Sigma Prime Ventures,1
.406 Ventures,Silicon Valley Bank,1
.406 Ventures,StarVest Partners,2
.406 Ventures,Symantec,2
.406 Ventures,Technicolor,1
.406 Ventures,The Accelerator Group,1
.406 Ventures,The Aurora Funds,2
.406 Ventures,Thrive Capital,2
.406 Ventures,Tony Hsieh,1
.406 Ventures,Vermont Seed Capital Fund,1
.406 Ventures,fidelity growth partners global,1
1-800-FLOWERS.COM,Branford Castle Private Equity,1
1-800-FLOWERS.COM,Canaan Partners,1
1-800-FLOWERS.COM,Jit Saxena,1
1-800-FLOWERS.COM,New Orleans Startup Fund,1
1-800-FLOWERS.COM,TiE Angels,1
10 Others,BON Fund,1
10 Others,Broadhorn Capital,1
10 Others,Interstate Enterprises,1
10 Others,Jeff Tegethoff,1
101 Startups,Cabiedes & Partners,1
101 Startups,Trovit,1
10X Venture Partners,Borealis Ventures,1
10X Venture Partners,Nick Grewal,1
10X Venture Partners,Wasabi Ventures,1
10X Venture Partners,eCoast Angel Network,1
10Xelerator,Founders Factory,1
10Xelerator,TechColumbus,1
10i10 ApS,Creandum,1
10x,Founders Factory,1
123 Venture,ACE Management,3
123 Venture,CDC Innovation,1
123 Venture,CFH,1
123 Venture,Co-Investor,1
123 Venture,CrÃ©dit Agricole Private Equity,1
123 Venture,EVP Capital Management,1
123 Venture,Financiere De l'Echiquier,3
123 Venture,KfW Bankengruppe,1
123 Venture,La FinanciÃƒÂ¨re de Brienne,2
123 Venture,SG Asset Management Private Equity,1
123 Venture,SIB Innovations,1
123 Venture,TechFund Capital,3
123 Venture,TechnoStart,1
123 Venture,Triangle Venture Capital Group,2
123 Venture,Viveris Management,1
123 Venture,eCAPITAL Entrepreneurial Partners AG,1
123Venture,ACE Management,1
123Venture,Auriga Partners,2
123Venture,Creabilis,1
123Venture,Demeter Partners,1
123Venture,Edmond de Rothschild Venture Capital,1
123Venture,Elaia Partners,3
123Venture,Financiere De l'Echiquier,1
123Venture,Galia Gestion,1
123Venture,IRDI Midi Pyrenees,1
123Venture,Matignon Investissement & Gestion,2
123Venture,Nauta Capital,1
123Venture,Neotec Capital Riesgo,1
123Venture,Partech Ventures,1
123Venture,Rothschild Gestion,2
123Venture,TechFund Capital,1
123Venture,Upfront Ventures,1
123Venture,Viveris Management,1
15 socios angel 156KÂ€,CDTI (NEOTEC),1
1C Company,Digital Sky Technologies,1
1C Company,Sergey Orlovskiy,1
1in10 Ventures,Synetro Group,1
1stMover.org,Felix Bauchspiess,1
1to1 Venture Partners,Connecticut Innovations,1
1to1 Venture Partners,Trident Capital,1
2020 Ventures,500 Startups,4
2020 Ventures,Dan Martell,1
2020 Ventures,Dave Morin,1
2020 Ventures,Derek Dukes,1
2020 Ventures,Felicis Ventures,1
2020 Ventures,High Line Venture Partners,1
2020 Ventures,Index Ventures,2
2020 Ventures,Javelin Venture Partners,1
2020 Ventures,Kii Capital,2
2020 Ventures,Rahul Prakash,1
2020 Ventures,Steve Lee,1
2020 Ventures,Strive Capital,2
2020 Ventures,Zelkova Ventures,1
20K Industries,CIT GAP Funds,1
212,European Bank for Reconstruction and Development (EBRD),1
212,Simile Ventures,1
212 Capital Partners,Aslanoba Capital,2
21Ventures,Frontier Communications Corporation,1
21Ventures,Qualcomm,1
2B Angels,500 Startups,1
2B Angels,Cross Atlantic Capital Partners,1
2B Angels,Explore. Dream. Discover.,1
2B Angels,Magma Venture Partners,1
2B Angels,PLUS Ventures,5
2B Angels,Pitango Venture Capital,1
2B Angels,Rhodium,2
2B Angels,Rutledge Vine Capital,2
2B Angels,Tron Capital,1
2B Angels,Zohar Gilon,1
2B Angels,lool ventures,1
2BAngles,Neurato Investments,2
2BAngles,PLUS Ventures,1
2C3i,Chelsfield Partners,1
2C3i,Elliot Bernerd,1
2C3i,Giza Venture Capital,1
2C3i,Prime Minister of Qatar -Sheikh Hamad bin Jassim bin Jaber Al Thani,1
2C3i,Rahman Abdul El Assir,1
2M Companies,500 Startups,1
2M Companies,Crestview Partners,1
2M Companies,Endeavor Partners,1
2M Companies,K9 Ventures,1
2M Companies,Premier Asset Management,1
2M Companies,RENN Capital,1
2M Companies,Renaissance Investment Management,1
2M Companies,SF Capital,1
2M Companies,Straus Partners,1
2M Companies,Toibb Enterprises,1
3 Others,Broadhorn Capital,1
3 Others,Jeff Tegethoff,1
3 Wise Ventures,500 Startups,1
3 Wise Ventures,Alex Karelin,1
3 Wise Ventures,Andy Rankin,1
3 Wise Ventures,Balaji Gopinath,1
3 Wise Ventures,Clark Landry,1
3 Wise Ventures,Dave McClure,1
3 Wise Ventures,David Pell,1
3 Wise Ventures,David Steakley,1
3 Wise Ventures,Dennis Ives,1
3 Wise Ventures,Dr. Alan Altman,1
3 Wise Ventures,Jamie Weissenborn,1
3 Wise Ventures,Jody Sherman,1
3 Wise Ventures,Josh Reznick,1
3 Wise Ventures,Kima Ventures,1
3 Wise Ventures,Maneesh Arora,1
3 Wise Ventures,Mark Suster,1
3 Wise Ventures,Matt Coffin,1
3 Wise Ventures,Matthew French,1
3 Wise Ventures,Michael French,1
3 Wise Ventures,Paige Craig,1
3 Wise Ventures,Robert Beck,1
3 Wise Ventures,Roger Dickey,1
3 Wise Ventures,Sizhao Yang,1
3 Wise Ventures,Tom & Peggy Richie,1
3 Wise Ventures,Tom McInerney,1
313 Ventures,Ludlow Ventures,1
313 Ventures,Zelkova Ventures,1
350 Capital,Innovacorp,1
350 Capital,Shaw Group,1
350 Capital,Strategic angels,1
350 Investment Partners,The North West Fund for Energy & Environmental,1
360 Capital Partners,360by360 Competition,1
360 Capital Partners,Acton Capital Partners,1
360 Capital Partners,Alven Capital,3
360 Capital Partners,Arts Alliance Ventures,1
360 Capital Partners,Bpifrance,1
360 Capital Partners,DN Capital,1
360 Capital Partners,Fonds pour la SociÃ©tÃ© Numerique,1
360 Capital Partners,Highland Capital Partners,1
360 Capital Partners,I-Source Gestion,5
360 Capital Partners,IDInvest Partners,2
360 Capital Partners,Innoven Partners,1
360 Capital Partners,Italian Angels for Growth,1
360 Capital Partners,Life Sciences Partners,1
360 Capital Partners,Partech Ventures,1
360 Capital Partners,Seventure Partners,3
360 Capital Partners,TechFund,1
360 Capital Partners,Ventech,2
37 Ventures,ACE Fund,2
37 Ventures,Jackrel Ventures,1
37 Ventures,Keire,1
37 Ventures,Knight & Bishop,1
37 Ventures,Launchpad LA,2
37 Ventures,Maverick Angels,1
37 Ventures,Pasadena Angels,1
37 Ventures,Tech Coast Angels,2
37 Ventures,Yuri Pikover,1
3Com Ventures,AT&T Intellectual Property,1
3Com Ventures,GunnAllen Venture Partners,1
3Com Ventures,Innovacom,1
3Com Ventures,Intel Capital,1
3Com Ventures,Investor Growth Capital,1
3Com Ventures,JK&B Capital,1
3Com Ventures,Vesbridge Partners,1
3Com Ventures,WS Investments,1
3G Capital Partners,Ed Ojdana,1
3G Capital Partners,Silicon Valley Bank,1
3M Company,DOEN Foundation,1
3M New Ventures,Alsop Louie Partners,1
3M New Ventures,Clean Pacific Ventures,1
3M New Ventures,Motorola Solutions Venture Capital,1
3T Capital,CDC Enterprises,1
3T Capital,Nestadio Capital,1
3T Capital,Seventure Partners,1
3TS Capital Partners,Global Finance,1
3TS Capital Partners,Integral Capital Partners,2
3TS Capital Partners,Intel Capital,2
3TS Capital Partners,Polaris Partners,1
3TS Capital Partners,Prism Venture Management,2
3TS Cisco Growth Fund,Brett Ratner,1
3TS Cisco Growth Fund,EstÃ©e Lauder,1
3TS Cisco Growth Fund,Innovation Endeavors,1
3TS Cisco Growth Fund,Jean Piggozzi,1
3TS Cisco Growth Fund,Reliance BIG Entertainment,1
3U HOLDING AG,Heinz Mauthe GmbH,1
3U HOLDING AG,InterimInternational GmbH,1
3U HOLDING AG,Longhouse Holding AG,1
3V SourceOne Ventures,ITX International Holdings,1
3V SourceOne Ventures,Mizuho Venture Capital,1
3V SourceOne Ventures,National Semiconductor,1
3V SourceOne Ventures,Pequot Ventures,1
3V SourceOne Ventures,Pericom Semiconductor,1
3V SourceOne Ventures,UOB Venture,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,Arts Alliance Ventures,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,BayTech Venture Capital,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,EMBL Ventures,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,Earlybird Venture Capital,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,Grazia Equity,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,Investor Growth Capital,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,L-Bank,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,Merifin Capital,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,VINCI CAPITAL,1
3i Deutschland Gesellschaft fÃ¼r Industriebeteiligungen,Wellington Partners,1
3i Group,ABS Capital Partners,1
3i Group,ARCH Venture Partners,2
3i Group,ATMOS,1
3i Group,Accel Partners,2
3i Group,Active Venture Partners,1
3i Group,ActoMezz,1
3i Group,Adams Capital Management,1
3i Group,Allegis Capital,1
3i Group,Alta Berkeley Venture Partners,2
3i Group,Alta Partners,3
3i Group,Amadeus Capital Partners,6
3i Group,Angeleno Group,1
3i Group,Apax Partners,1
3i Group,Ardesta,2
3i Group,Argonaut Ventures,1
3i Group,Asenqua Ventures,1
3i Group,Atlas Venture,1
3i Group,Aurelia Private Equity,1
3i Group,Avlar BioVentures,1
3i Group,Axiom Ventures,1
3i Group,BASF Venture Capital,1
3i Group,BC Brandenburg Capital,1
3i Group,BDC Venture Capital,1
3i Group,BI New Energy,1
3i Group,Balderton Capital,1
3i Group,BankInvest,1
3i Group,Banyan Capital Partners,1
3i Group,Battery Ventures,1
3i Group,BayTech Venture Capital,3
3i Group,Bertelsmann Digital Media Investments,1
3i Group,Black River Asset Management,1
3i Group,CB Health Ventures,3
3i Group,CDP Capital Technology Ventures,2
3i Group,Cambridge Business Angels,2
3i Group,Cambridge Capital Group,3
3i Group,Capital-E,2
3i Group,Carbon Trust,2
3i Group,Chevron,1
3i Group,Cipio Partners,1
3i Group,Clearstone Venture Partners,1
3i Group,CoMotion Venture Capital,1
3i Group,ComVentures,1
3i Group,Commerzbank,1
3i Group,CommonAngels,4
3i Group,Convergent Capital,1
3i Group,Credit Suisse,1
3i Group,CrÃ©dit Agricole Private Equity,1
3i Group,DAG Ventures,1
3i Group,DFJ Esprit,1
3i Group,DH Capital,1
3i Group,DN Capital,1
3i Group,Daiwa SMBC Capital,1
3i Group,Doughty Hanson Technology Ventures,5
3i Group,Draper Fisher Jurvetson (DFJ),3
3i Group,ESI,1
3i Group,Earlybird Venture Capital,3
3i Group,Edmond de Rothschild Venture Capital,1
3i Group,Encompass Ventures,1
3i Group,Firelake Capital Management,1
3i Group,First Capital Group,1
3i Group,Flagship Ventures,4
3i Group,Fluke Venture Partners,1
3i Group,Foundation Capital,1
3i Group,Frank Marshall,1
3i Group,Frazier Healthcare Ventures,1
3i Group,Fremont Ventures,1
3i Group,Gainesborough Investment Partners,1
3i Group,Gainesborough and Peponi Investments,1
3i Group,Gefinor Ventures,1
3i Group,Generation Partners,2
3i Group,Gimv,1
3i Group,Goldman Sachs,3
3i Group,Growth Works,1
3i Group,Harris & Harris Group,1
3i Group,Hercules Technology Growth Capital,1
3i Group,Horizon Ventures,1
3i Group,I-Source Gestion,1
3i Group,IDI Group,1
3i Group,IDInvest Partners,2
3i Group,Infinity Capital,1
3i Group,Innovacom,2
3i Group,Intel Capital,6
3i Group,Internet Capital Group,1
3i Group,Investor Growth Capital,1
3i Group,JK&B Capital,1
3i Group,Kaiser Permanente Ventures,1
3i Group,Keiretsu Forum,1
3i Group,Kennet Partners,1
3i Group,KfW Bankengruppe,1
3i Group,Khosla Ventures,2
3i Group,Kleiner Perkins Caufield & Byers,1
3i Group,Lehman Brothers,1
3i Group,Litorina,1
3i Group,Lux Capital,1
3i Group,MB Venture Capital Fund,1
3i Group,Malaysian Life Sciences Capital Fund,1
3i Group,Massachusetts Green Energy Fund,1
3i Group,Massachusetts Technology Development Corporation,1
3i Group,Matrix Partners,2
3i Group,Menlo Ventures,2
3i Group,Meritech Capital Partners,2
3i Group,Merlin Biosciences,2
3i Group,Merrill Lynch,1
3i Group,Monitor Ventures,1
3i Group,Montagu Private Equity,1
3i Group,NESTA Investments,3
3i Group,NGEN Partners,1
3i Group,NGN Capital,2
3i Group,NIF Ventures,2
3i Group,NTEC,1
3i Group,NW Brown Ventures,1
3i Group,Natixis Private Equity,1
3i Group,New Energy Solutions,1
3i Group,New Enterprise Associates,2
3i Group,Noble Fund Managers,1
3i Group,Nordic Venture Partners,1
3i Group,Nordic Wireless,1
3i Group,North Bridge Venture Partners,1
3i Group,Novel Bioventures,1
3i Group,OH Beteiligungen,1
3i Group,Oak Investment Partners,5
3i Group,POSCO BioVentures,3
3i Group,Panasonic Ventures,1
3i Group,Partech Ventures,5
3i Group,Pegasus Capital,1
3i Group,Pentech Ventures,3
3i Group,Performance Equity Management,1
3i Group,Pragma Capital,1
3i Group,Prism Venture Management,2
3i Group,Psilos Group,1
3i Group,Qualcomm Ventures,3
3i Group,RWI Ventures,2
3i Group,Rex Capital,1
3i Group,Robert Bosch Venture Capital,1
3i Group,Royal Bank of Scotland,3
3i Group,Rustic Canyon Partners,1
3i Group,SAP Ventures,1
3i Group,SG Asset Management Private Equity,1
3i Group,SIAR Capital,1
3i Group,SR One,1
3i Group,Sagamore Bioventures,2
3i Group,Saints Capital,2
3i Group,Samsung Ventures America,1
3i Group,Sanderling Ventures,1
3i Group,Scale Venture Partners,1
3i Group,Scottish Equity Partners,11
3i Group,Sherbrooke Capital,3
3i Group,Siemens Venture Capital,3
3i Group,Sierra Ventures,1
3i Group,Sippl MacDonald Ventures,1
3i Group,Societe Generale  Asset Management,1
3i Group,Spectrum Equity,3
3i Group,Spinner Asset Management,1
3i Group,Stanford Management,1
3i Group,Stata Venture Partners,1
3i Group,TD Capital,2
3i Group,TELUS Ventures,1
3i Group,TTP Ventures,1
3i Group,TVM Capital,1
3i Group,TeleSoft Partners,1
3i Group,Texas Instruments,1
3i Group,The Cambridge Gateway Fund,1
3i Group,The Hillman Company,1
3i Group,Top Technology Ventures,1
3i Group,Toshiba Corporation,1
3i Group,TransCosmos,1
3i Group,Trevi Health Ventures,2
3i Group,Tudor Investments,4
3i Group,UFG Private Equity,1
3i Group,UMC Capital,2
3i Group,US Venture Partners,1
3i Group,Vanguard Ventures,1
3i Group,VantagePoint Capital Partners,4
3i Group,VenGrowth Asset Management,2
3i Group,Ventech,2
3i Group,Vista Ventures,1
3i Group,WI Harper Group,2
3i Group,Walden Venture Capital,1
3i Group,Wall Street Technology Partners,1
3i Group,Wellington Partners,4
3i Group,William Miller,1
3i Group,Woodside Fund,1
3i Group,XML Fund,1
3i Group,e.ventures,4
3i Group,i-Hatch Ventures,1
3taps,Ben Ling,1
3taps,Felicis Ventures,1
3taps,Founder Collective,1
3taps,Keith Rabois,1
3taps,Walter Kortschak,1
3wVentures.com,Arvin Zuberbuehler,2
3wVentures.com,Yves Latour,2
3x5 Special Opportunity Partners,Alta Partners,1
3x5 Special Opportunity Partners,Cross Creek Capital,1
3x5 Special Opportunity Partners,Devon Park BioVentures,1
3x5 Special Opportunity Partners,GE Asset Management,1
3x5 Special Opportunity Partners,Integral Capital Partners,1
3x5 Special Opportunity Partners,Kaiser Permanente Ventures,1
3x5 Special Opportunity Partners,Morgenthaler Ventures,1
3x5 Special Opportunity Partners,QuestMark Partners,1
3x5 Special Opportunity Partners,RiverVest,2
3x5 Special Opportunity Partners,Salem Partners,1
3x5 Special Opportunity Partners,merrickhanna ventures,1
4th Level Ventures,Braemar Energy Ventures,1
4th Level Ventures,Intel Capital,2
4th Level Ventures,Mianach Venture Capital,1
4th Level Ventures,Scottish Equity Partners,2
4th Level Ventures,VentureTech Alliance,2
5 Continents Consulting Group,Accel Partners,1
5 Continents Consulting Group,Advent Venture Partners,1
5 Continents Consulting Group,Atlas Venture,1
5 Continents Consulting Group,Yasuda Enterprise Development,1
5 K Investment,Bayern Kapital,1
5 K Investment,EXTOREL Management,1
5 K Investment,HP Capital,1
5 K Investment,High-Tech Gruenderfonds,1
5 Park Lane,Paul Buyink,1
500 Hats,Jim Hornthal,1
500 Hats,John Landry,1
500 Hats,Katie Rae,1
500 Hats,Ken & Laura Morse,1
500 Hats,Marek Fodor,1
500 Hats,Pablo Carrallo,1
500 Hats,Raul Aznar,1
500 Hats,Reed Sturtevant,1
500 Hats,Roy Rodenstein,1
500 Hats,Spark Capital,1
500 Startups,5ideas.in,1
500 Startups,8capita Partners,1
500 Startups,ACE & Company,1
500 Startups,AJ Vaynerchuk,1
500 Startups,AOL Ventures,2
500 Startups,ARTIS Ventures,1
500 Startups,Aayush Phumbhra,2
500 Startups,Accel Partners,4
500 Startups,Accelerator Ventures,2
500 Startups,Adam D'Angelo,1
500 Startups,Adam Jackson,2
500 Startups,Adam McNamara,1
500 Startups,Adam Mosseri,1
500 Startups,Adam Nash,1
500 Startups,Adam Schwartz,2
500 Startups,Adam Wiggins,2
500 Startups,Adams Street Partners,1
500 Startups,Adrian MacKenzie,1
500 Startups,Advancit Capital,2
500 Startups,Akiko Fujikawa,1
500 Startups,Alan Jones,1
500 Startups,Alex Fries,1
500 Startups,Alex Hoye,1
500 Startups,Alex Karelin,1
500 Startups,Alex Khein,1
500 Startups,Alex Krug,1
500 Startups,Alex Lloyd,1
500 Startups,Alex Moore,1
500 Startups,Alex Zubillaga,3
500 Startups,Alexander Bruehl,1
500 Startups,Alexis Ohanian,6
500 Startups,Alfred Lin,1
500 Startups,Algy Williams,1
500 Startups,Alireza Masrour,1
500 Startups,Alistair Croll,1
500 Startups,Allen Morgan,1
500 Startups,Alliance of Angels,1
500 Startups,Alt Option Return,1
500 Startups,Alta Ventures Mexico,1
500 Startups,Altair.VC,1
500 Startups,Aman Thapar,1
500 Startups,Amar Chokhawala,1
500 Startups,Amicus Capital,1
500 Startups,Amir Banifatemi,1
500 Startups,Amplify Partners,1
500 Startups,Andre Charland,1
500 Startups,Andreessen Horowitz,6
500 Startups,Andrew Beebe,1
500 Startups,Andrew Chen,1
500 Startups,Andrew Kortina,1
500 Startups,Andrew Reis,1
500 Startups,Andrew Warner,1
500 Startups,Andy McLoughlin,1
500 Startups,Andy Rankin,1
500 Startups,Angel Investor,1
500 Startups,AngelPad,3
500 Startups,Ankur Pansari,1
500 Startups,Anne Johnson,1
500 Startups,Anthemis Group,2
500 Startups,Anthony Marcar,1
500 Startups,Anthony Pascoe,1
500 Startups,Anthony Soohoo,1
500 Startups,Anton Levy,1
500 Startups,Anton Sutton,1
500 Startups,Archetype,1
500 Startups,Ariel Poler,3
500 Startups,Arizona Bay Technology Ventures,1
500 Startups,Arjun Sethi,1
500 Startups,Arts Alliance Ventures,1
500 Startups,Ash Patel,1
500 Startups,Ashish Soni,1
500 Startups,Ashton Kutcher,1
500 Startups,Ashvin Patel,1
500 Startups,Atlas Venture,8
500 Startups,Atomico,1
500 Startups,Auren Hoffman,3
500 Startups,Automattic,1
500 Startups,Avonmore Developments,1
500 Startups,AxVentures-Pymar Fund,1
500 Startups,Azat Mardanov,1
500 Startups,B Dash Ventures,1
500 Startups,BDC Venture Capital,1
500 Startups,BIGLOBE Capital,1
500 Startups,BMW i Ventures,1
500 Startups,BOLDstart Ventures,1
500 Startups,Balaji Gopinath,1
500 Startups,Ballpark Ventures,2
500 Startups,Baltimore Angels,1
500 Startups,Baroda Ventures,2
500 Startups,Base Ventures,3
500 Startups,Baseline Ventures,6
500 Startups,Battery Ventures,3
500 Startups,Bee Partners,1
500 Startups,Ben Lewis,1
500 Startups,Ben Lilienthal,2
500 Startups,Ben Ling,7
500 Startups,Ben Smith,1
500 Startups,Benjamin Joffe,1
500 Startups,Berman Venture Capital,1
500 Startups,Bertelsmann Digital Media Investments,1
500 Startups,Bessemer Venture Partners,5
500 Startups,Betaspring,1
500 Startups,Beth Ellyn McClendon,1
500 Startups,Bill Boebel,3
500 Startups,Bill Gross,1
500 Startups,Bill Lee,1
500 Startups,Bill Tai,1
500 Startups,Birchmere Labs,1
500 Startups,Bish Investments,1
500 Startups,Biz Stone,1
500 Startups,Blackbird Ventures (Australia),2
500 Startups,BlueRun Ventures,1
500 Startups,Blumberg Capital,2
500 Startups,Bob Mason,1
500 Startups,Bob Pasker,1
500 Startups,Bob Pittman,1
500 Startups,Bolt Ventures,2
500 Startups,Boost VC,1
500 Startups,Boston Seed Capital,3
500 Startups,BoxGroup,3
500 Startups,Brandon Arbini,1
500 Startups,Brian Lee,1
500 Startups,Brian McClendon,1
500 Startups,Brian Nelson,1
500 Startups,Brian Norgard,1
500 Startups,Brian Yee,1
500 Startups,Brightstar,1
500 Startups,Bruno Bowden,1
500 Startups,Bruno Mars,1
500 Startups,Bullet Time Ventures,1
500 Startups,Bullpen Capital,3
500 Startups,Burrill & Company,1
500 Startups,CAP Ventures,2
500 Startups,CIT GAP Funds,3
500 Startups,CMEA Capital,2
500 Startups,CNF Investments,2
500 Startups,Caelen King,1
500 Startups,Canaan Partners,1
500 Startups,Cankut Durgun,1
500 Startups,Carlos Domingo,1
500 Startups,Carmen Busquets,1
500 Startups,Carnet Williams,1
500 Startups,Carol Chow,1
500 Startups,Carter Rabasa,2
500 Startups,Cathie Black,1
500 Startups,Cervin Ventures,1
500 Startups,Chamath Palihapitiya,2
500 Startups,Chan & Asha Joshi,1
500 Startups,Chang Ng,1
500 Startups,Charles Hudson,1
500 Startups,Charles Petrucelli,1
500 Startups,Charles River Ventures,9
500 Startups,Charlie Oppenheimer,1
500 Startups,Chasm Capital,1
500 Startups,China Rock Capital,1
500 Startups,Chipper Boulas,1
500 Startups,Chris Logan,1
500 Startups,Chris Messina,1
500 Startups,Chris Sacca,2
500 Startups,Chris Yeh,2
500 Startups,Christian Cotichini,1
500 Startups,Christian Dahlen,1
500 Startups,Christian Hernandez,1
500 Startups,Christina Brodbeck,1
500 Startups,Christoph Janz,2
500 Startups,Christopher Michel,1
500 Startups,Clark Landry,3
500 Startups,Clearstone Venture Partners,1
500 Startups,Clint Chao,1
500 Startups,Cloud Power Capital,1
500 Startups,Collaborative Fund,3
500 Startups,Comcast,1
500 Startups,Comcast Ventures,1
500 Startups,CommonAngels,2
500 Startups,Conor Stanley,1
500 Startups,"Consigliere Brand Capital, LLC",2
500 Startups,Correlation Ventures,1
500 Startups,Cowboy Ventures,1
500 Startups,Credo Ventures,1
500 Startups,Crocs,1
500 Startups,Crosscut Ventures,2
500 Startups,Crosslink Capital,7
500 Startups,CrunchFund,4
500 Startups,Csaba Konkoly,2
500 Startups,Cue Ball,1
500 Startups,Cyan Banister,3
500 Startups,CyberAgent,2
500 Startups,DASH Ventures,1
500 Startups,DCM,2
500 Startups,DEV,1
500 Startups,DFJ Gotham Ventures,2
500 Startups,DFJ JAIC,1
500 Startups,DG Incubation,2
500 Startups,DN Capital,2
500 Startups,Daher Capital,1
500 Startups,Dakin Sloss,1
500 Startups,Damien Tanner,2
500 Startups,Dan Gould,1
500 Startups,Dan Martell,4
500 Startups,Dan Martello,1
500 Startups,Daniel Eskapa,2
500 Startups,Daniel Wallace,1
500 Startups,Danny Oei Wirianto,1
500 Startups,Dario Suter,1
500 Startups,Darius Cheung,2
500 Startups,Data Collective,4
500 Startups,Dave Concannon,1
500 Startups,Dave Dolby,2
500 Startups,Dave McClure,16
500 Startups,Dave Morin,4
500 Startups,Dave Nakayama,1
500 Startups,David Beyer,3
500 Startups,David Calone,1
500 Startups,David Cancel,1
500 Startups,David Coallier,1
500 Startups,David Cohen,15
500 Startups,David Cowan,1
500 Startups,David Fischer,1
500 Startups,David Frankel,1
500 Startups,David Goldberg,1
500 Startups,David Hauser,3
500 Startups,David Jeske,1
500 Startups,David King,1
500 Startups,David Pell,1
500 Startups,David Risher,1
500 Startups,David S. Rose,1
500 Startups,David Sacks,1
500 Startups,David Shen,1
500 Startups,David Shen Ventures,2
500 Startups,David Steakley,1
500 Startups,David Tisch,5
500 Startups,David Wu,1
500 Startups,Day2 Ventures,1
500 Startups,Deciens Capital,1
500 Startups,Denis Grosz,1
500 Startups,Dennis Ives,2
500 Startups,Denny Hill Capital,1
500 Startups,Derek Dukes,1
500 Startups,Detroit Venture Partners,1
500 Startups,Devaraj Southworth,2
500 Startups,Dharmesh Shah,4
500 Startups,Diane Loviglio,1
500 Startups,Diego Canoso,1
500 Startups,Digital Education,1
500 Startups,Digital Garage,3
500 Startups,Digital Sky Technologies,1
500 Startups,Dinesh Tejwani,1
500 Startups,Dino Vendetti,1
500 Startups,Dirk Elmendorf,1
500 Startups,DominateFund,1
500 Startups,Don Dodge,3
500 Startups,Double M Partners,3
500 Startups,Doug Barry,1
500 Startups,Doug Joon Lee,1
500 Startups,Dr. Alan Altman,1
500 Startups,Draper Associates,2
500 Startups,Draper Fisher Jurvetson (DFJ),4
500 Startups,Draper Richards,1
500 Startups,DreamIt Ventures,1
500 Startups,Dundee Venture Capital,1
500 Startups,Dylan Parker,1
500 Startups,Eamon Leonard,1
500 Startups,Earlybird Venture Capital,1
500 Startups,EchoVC Partners,2
500 Startups,Econa AG,1
500 Startups,Ecosystem Ventures,2
500 Startups,Ed Roberts,1
500 Startups,Eden Ventures,1
500 Startups,Eduardo Saverin,1
500 Startups,Eghosa Omoigui,2
500 Startups,Eileen Burbidge,2
500 Startups,El Paso Advisors,1
500 Startups,Elizabeth Hart,1
500 Startups,Elliot Loh,2
500 Startups,Elliot Shmukler,1
500 Startups,Embarcadero Ventures,2
500 Startups,Emerge,1
500 Startups,Emi Takemura,1
500 Startups,Emma Wilson,1
500 Startups,Endeavor Partners,2
500 Startups,Eniac Ventures,3
500 Startups,Entrepreneurs Fund,1
500 Startups,Eric Cantor,1
500 Startups,Eric Chen,1
500 Startups,Eric Cressey,1
500 Startups,Eric Dobkin,1
